Month,PlannerName,Product,ProductFamily,Plant, Forecast_Tons ,Resource,Scenario Version,Comment
2029-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-06,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-07,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-08,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-09,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-10,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-11,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-12,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-06,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-07,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-08,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-09,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-10,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-11,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-12,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-06,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-07,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-08,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-09,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-10,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2031-11,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
